n,k,pca_count,dolev_count,avg_edge_removed_pca_nets,avg_edge_removed_dolev_nets,attempts
100,3,1000,1000,4314.345,4513.432,1000
100,4,1000,1000,4156.973,4431.473,1000
100,5,1000,1000,4014.761,4356.239,1000
100,6,1000,1000,3894.673,4286.799,1000
100,7,1000,1000,3781.346,4214.758,1000
100,8,1000,1000,3672.683,4155.154,1000
100,9,1000,1000,3578.152,4090.307,1000
100,10,1000,1000,3481.135,4017.652,1000
100,11,1000,1000,3395.801,3950.379,1000
100,12,1000,1000,3311.719,3896.604,1000
100,13,1000,1000,3232.45,3832.262,1000
100,14,1000,1000,3159.068,3767.502,1000
100,15,1000,1000,3083.508,3715.098,1000
