n,k,edge_prob,pca_count,dolev_count,attempts
100,3,0.01,0,0,1000
100,3,0.02,0,0,1000
100,3,0.03,0,0,1000
100,3,0.04,0,0,1000
100,3,0.05,0,0,1000
100,3,0.06,0,3,1000
100,3,0.07,0,77,1000
100,3,0.08,0,296,1000
100,3,0.09,0,579,1000
100,3,0.10,0,795,1000
100,3,0.11,29,913,1000
100,3,0.12,241,962,1000
100,3,0.13,625,984,1000
100,3,0.14,875,994,1000
100,3,0.15,944,998,1000
100,3,0.16,988,1000,1000
100,3,0.17,999,1000,1000
100,3,0.18,997,1000,1000
100,3,0.19,999,1000,1000
100,3,0.20,1000,1000,1000
100,3,0.21,1000,1000,1000
100,3,0.22,1000,1000,1000
100,3,0.23,1000,1000,1000
100,3,0.24,1000,1000,1000
100,3,0.25,1000,1000,1000
100,3,0.26,1000,1000,1000
100,3,0.27,1000,1000,1000
100,3,0.28,1000,1000,1000
100,3,0.29,1000,1000,1000
100,3,0.30,1000,1000,1000
100,3,0.31,1000,1000,1000
100,3,0.32,1000,1000,1000
100,3,0.33,1000,1000,1000
100,3,0.34,1000,1000,1000
100,3,0.35,1000,1000,1000
100,3,0.36,1000,1000,1000
100,3,0.37,1000,1000,1000
100,3,0.38,1000,1000,1000
100,3,0.39,1000,1000,1000
100,3,0.40,1000,1000,1000
100,3,0.41,1000,1000,1000
100,3,0.42,1000,1000,1000
100,3,0.43,1000,1000,1000
100,3,0.44,1000,1000,1000
100,3,0.45,1000,1000,1000
100,3,0.46,1000,1000,1000
100,3,0.47,1000,1000,1000
100,3,0.48,1000,1000,1000
100,3,0.49,1000,1000,1000
100,3,0.50,1000,1000,1000
100,3,0.51,1000,1000,1000
100,3,0.52,1000,1000,1000
100,3,0.53,1000,1000,1000
100,3,0.54,1000,1000,1000
100,3,0.55,1000,1000,1000
100,3,0.56,1000,1000,1000
100,3,0.57,1000,1000,1000
100,3,0.58,1000,1000,1000
100,3,0.59,1000,1000,1000
100,3,0.60,1000,1000,1000
100,3,0.61,1000,1000,1000
100,3,0.62,1000,1000,1000
