n,k,d,pca_count,dolev_count,attempts
100,8,10,0,1000,1000
100,7,10,0,1000,1000
100,6,10,0,1000,1000
100,4,10,0,1000,1000
100,10,10,0,1000,1000
100,9,10,0,1000,1000
100,5,10,0,1000,1000
100,3,10,60,1000,1000
100,7,11,0,1000,1000
100,9,11,0,1000,1000
100,6,11,0,1000,1000
100,5,11,0,1000,1000
100,8,11,0,1000,1000
100,10,11,0,1000,1000
100,4,11,0,1000,1000
100,3,11,987,1000,1000
100,7,12,0,1000,1000
100,5,12,0,1000,1000
100,4,12,0,1000,1000
100,10,12,0,1000,1000
100,8,12,0,1000,1000
100,6,12,0,1000,1000
100,9,12,0,1000,1000
100,3,12,1000,1000,1000
100,7,13,0,1000,1000
100,8,13,0,1000,1000
100,9,13,0,1000,1000
100,5,13,0,1000,1000
100,6,13,0,1000,1000
100,10,13,0,1000,1000
100,4,13,108,1000,1000
100,3,13,1000,1000,1000
100,5,14,0,1000,1000
100,9,14,0,1000,1000
100,7,14,0,1000,1000
100,6,14,0,1000,1000
100,10,14,0,1000,1000
100,8,14,0,1000,1000
100,4,14,982,1000,1000
100,3,14,1000,1000,1000
100,6,15,0,1000,1000
100,5,15,0,1000,1000
100,8,15,0,1000,1000
100,10,15,0,1000,1000
100,7,15,0,1000,1000
100,9,15,0,1000,1000
100,3,15,1000,1000,1000
100,4,15,1000,1000,1000
100,9,16,0,1000,1000
100,7,16,0,1000,1000
100,8,16,0,1000,1000
100,6,16,0,1000,1000
100,10,16,0,1000,1000
100,5,16,657,1000,1000
100,3,16,1000,1000,1000
100,4,16,1000,1000,1000
100,6,17,0,1000,1000
100,7,17,0,1000,1000
100,8,17,0,1000,1000
100,9,17,0,1000,1000
100,10,17,0,1000,1000
100,3,17,1000,1000,1000
100,5,17,999,1000,1000
100,4,17,1000,1000,1000
100,10,18,0,1000,1000
100,7,18,0,1000,1000
100,9,18,0,1000,1000
100,8,18,0,1000,1000
100,6,18,188,1000,1000
100,3,18,1000,1000,1000
100,4,18,1000,1000,1000
100,5,18,1000,1000,1000
100,8,19,0,1000,1000
100,9,19,0,1000,1000
100,7,19,0,1000,1000
100,10,19,0,1000,1000
100,3,19,1000,1000,1000
100,5,19,1000,1000,1000
100,4,19,1000,1000,1000
100,6,19,989,1000,1000
100,10,20,0,1000,1000
100,9,20,0,1000,1000
100,8,20,0,1000,1000
100,7,20,46,1000,1000
100,3,20,1000,1000,1000
100,4,20,1000,1000,1000
100,6,20,1000,1000,1000
100,5,20,1000,1000,1000
100,9,21,0,1000,1000
100,10,21,0,1000,1000
100,8,21,0,1000,1000
100,7,21,957,1000,1000
100,5,21,1000,1000,1000
100,3,21,1000,1000,1000
100,4,21,1000,1000,1000
100,6,21,1000,1000,1000
100,9,22,0,1000,1000
